text,sentiment
I love this product! It's amazing!,positive
This is the worst experience I've ever had.,negative
"It's okay, nothing special but not bad.",neutral
Absolutely fantastic! Highly recommend.,positive
Terrible service. Never coming back.,negative
"The food was decent, but the service was slow.",neutral
I'm extremely happy with my purchase!,positive
"Not what I expected, quite disappointing.",negative
"Meh, it's neither good nor bad.",neutral
Excellent quality and great value!,positive
"Awful experience, I want a refund!",negative
"The event was alright, could have been better.",neutral
"So happy with this, best decision ever!",positive
"I regret buying this, waste of money.",negative
"It was fine, nothing extraordinary.",neutral
